,,,,Bayesian Lasso - $\lambda = 0.1$,,,,,,,Bayesian Lasso - $\lambda = 0.25$,,,
$\theta$   ,,$\bar{\hat{\theta}}$ ,$\overline{\sigma_{\hat{\theta}}}$,$RMSE$ ,$\overline{HPD}_{95\%}$,$Coverage_{95\%}$ ,$p_{|\hat{\theta}| > 0}$,,$\bar{\hat{\theta}}$ ,$\overline{\sigma_{\hat{\theta}}}$,$RMSE$ ,$\overline{HPD}_{95\%}$,$Coverage_{95\%}$ ,$p_{|\hat{\theta}| > 0}$
-1.97,,-1.6,0.31,0.49,1.29,0.74,1,,-1.74,0.5,0.56,1.73,0.87,0.94
0.28,,0,0,0.27,0.06,0,0,,0.04,0.04,0.24,0.43,0.28,0
-1.58,,-1.25,0.31,0.45,1.28,0.86,0.86,,-1.47,0.4,0.42,1.71,1,0.68
1.57,,1.31,0.22,0.34,0.89,0.82,1,,1.46,0.33,0.35,1.21,0.94,0.96
-0.72,,-0.08,0.2,0.67,0.24,0.16,0.06,,-0.13,0.12,0.61,0.54,0.04,0
0.31,,0.3,0.08,0.08,0.46,1,0.14,,0.25,0.07,0.09,0.42,1,0.52
1.16,,1.01,0.11,0.19,0.42,0.72,1,,1.22,0.15,0.16,0.53,0.86,1
-1.05,,-0.9,0.09,0.18,0.41,0.74,1,,-1.08,0.13,0.13,0.52,0.94,1
-0.98,,-0.85,0.09,0.16,0.41,0.82,1,,-1.01,0.13,0.14,0.52,0.94,1
-0.64,,-0.53,0.09,0.14,0.41,0.88,0.98,,-0.58,0.12,0.13,0.51,0.94,1
1.7,,1.52,0.11,0.21,0.47,0.64,1,,1.87,0.15,0.23,0.59,0.74,1
-1.29,,-1.13,0.08,0.17,0.43,0.76,1,,-1.38,0.11,0.14,0.55,0.94,1
-0.19,,-0.01,0.02,0.18,0.07,0.04,0,,-0.1,0.07,0.11,0.33,0.82,0.08
-0.07,,0,0.02,0.07,0.06,0.02,0,,-0.04,0.05,0.06,0.3,1,0
-0.16,,0,0.01,0.16,0.06,0,0,,-0.09,0.06,0.09,0.32,0.94,0.1
