,$\overline{TP}$,$\overline{FP}$
ProbCox - Rank: 5 \& Batch size 512,12,1
ProbCox - Rank: 50 \& Batch size 512,13,1
ProbCox - Rank: 50 \& Batch size 1024,13,2
Lasso - $\lambda_{min}$,15,26
Lasso - $\lambda_{1se}$,13,1
Adaptive Lasso - $\lambda_{min}^{w=\lambda_{1se}}$,13,1
Adaptive Lasso - $\lambda_{1se}^{w=\lambda_{1se}}$,12,0
Adaptive Lasso - $\lambda_{min}^{w=\lambda_{min}}$,15,9
Adaptive Lasso - $\lambda_{1se}^{w=\lambda_{min}}$,14,4
