4; 8203; 72.0
3; 8128; 69.0
17; 8111; 62.0
14; 8145; 60.0
15; 8347; 66.0
13; 8120; 59.0
16; 8174; 75.0
24; 8236; 64.0
25; 8115; 77.0
23; 8318; 54.0
26; 8429; 76.0
18; 7934; 73.0
20; 8147; 62.0
12; 7899; 78.0
21; 8091; 74.0
22; 8159; 61.0
19; 8032; 63.0
11; 8359; 76.0
2; 8323; 67.0
0; 8173; 68.0
1; 8142; 72.0
6; 8021; 64.0
60; 8044; 72.0
61; 7987; 79.0
65; 7975; 48.0
51; 8003; 67.0
64; 8157; 62.0
68; 8106; 65.0
66; 8197; 57.0
47; 8063; 67.0
52; 8122; 62.0
46; 8295; 61.0
67; 8217; 76.0
9; 8342; 61.0
10; 8239; 57.0
8; 8100; 70.0
45; 8203; 67.0
69; 8480; 71.0
48; 7801; 62.0
49; 8346; 62.0
55; 8127; 49.0
53; 8237; 75.0
58; 7961; 50.0
50; 8292; 61.0
7; 8374; 84.0
72; 7946; 65.0
57; 7883; 66.0
56; 8141; 69.0
70; 8161; 67.0
54; 8030; 70.0
59; 8340; 69.0
5; 8049; 68.0
62; 8023; 63.0
63; 8118; 54.0
43; 8092; 63.0
33; 8200; 62.0
81; 8379; 71.0
37; 8177; 71.0
27; 8173; 77.0
42; 7996; 87.0
29; 8384; 61.0
74; 8123; 51.0
80; 8015; 67.0
73; 8336; 62.0
78; 8020; 79.0
30; 8325; 53.0
76; 8251; 78.0
40; 8282; 62.0
32; 8444; 59.0
75; 8187; 60.0
88; 7908; 66.0
44; 8086; 56.0
89; 8189; 53.0
99; 8050; 64.0
91; 8076; 60.0
92; 8230; 64.0
93; 7981; 65.0
94; 8246; 71.0
95; 8122; 60.0
90; 8216; 57.0
97; 8324; 50.0
28; 8194; 75.0
83; 8238; 78.0
87; 8198; 63.0
79; 8161; 60.0
38; 8258; 67.0
35; 7915; 64.0
34; 8266; 74.0
85; 8160; 81.0
84; 8081; 68.0
98; 8131; 41.0
36; 8207; 67.0
96; 8478; 65.0
41; 8295; 68.0
31; 8351; 80.0
71; 8315; 62.0
86; 8092; 55.0
106; 8133; 66.0
104; 8182; 60.0
105; 8085; 76.0
110; 8277; 69.0
109; 8197; 72.0
108; 8055; 77.0
117; 8342; 64.0
111; 7991; 66.0
112; 8041; 59.0
101; 8263; 63.0
122; 8234; 67.0
121; 8197; 74.0
123; 8383; 61.0
127; 8094; 56.0
128; 8094; 78.0
126; 8304; 71.0
125; 8331; 74.0
124; 7868; 62.0
120; 8240; 74.0
118; 8148; 61.0
119; 8130; 73.0
100; 8005; 85.0
145; 8080; 65.0
133; 8101; 55.0
130; 8159; 60.0
142; 8192; 64.0
131; 8436; 79.0
132; 8175; 60.0
135; 8153; 75.0
137; 7983; 72.0
144; 8388; 65.0
139; 8059; 76.0
136; 8244; 63.0
146; 8421; 63.0
143; 8269; 68.0
163; 8003; 66.0
162; 8206; 56.0
129; 8016; 67.0
147; 8146; 58.0
156; 7951; 69.0
103; 8131; 75.0
164; 8015; 65.0
114; 8081; 68.0
115; 8065; 81.0
102; 8110; 72.0
170; 8178; 45.0
153; 8079; 72.0
167; 8072; 65.0
169; 8201; 57.0
165; 8094; 69.0
168; 8160; 70.0
159; 8229; 65.0
155; 8401; 81.0
174; 7953; 67.0
180; 8501; 71.0
154; 8160; 67.0
186; 7803; 72.0
185; 8219; 57.0
175; 8427; 75.0
183; 8145; 69.0
171; 8180; 64.0
182; 7912; 70.0
181; 8031; 60.0
166; 8226; 50.0
184; 8114; 72.0
192; 8126; 86.0
160; 7911; 65.0
