,0,1,2,3
162,0.0,0.04,-0.03,0.1
163,0.0,0.05,-0.01,0.12
164,0.0,-0.01,-0.07,0.05
165,0.0,0.01,-0.05,0.07
166,0.0,-0.06,-0.12,-0.0
167,0.0,0.08,0.02,0.14
168,0.0,-0.01,-0.07,0.05
169,0.0,-0.04,-0.11,0.03
170,0.0,-0.01,-0.08,0.05
171,0.0,0.03,-0.03,0.1
172,0.0,-0.02,-0.09,0.04
173,0.0,0.02,-0.05,0.08
174,0.0,0.03,-0.03,0.1
175,0.0,0.01,-0.06,0.08
176,0.0,-0.04,-0.11,0.02
177,0.0,0.01,-0.06,0.08
178,0.0,-0.05,-0.12,0.02
179,0.0,-0.06,-0.12,0.01
180,0.0,0.07,0.01,0.13
181,0.0,0.01,-0.06,0.07
182,0.0,0.03,-0.03,0.09
183,0.0,-0.04,-0.09,0.02
184,0.0,-0.02,-0.09,0.05
185,0.0,-0.01,-0.08,0.06
186,0.0,-0.02,-0.09,0.05
187,0.0,0.03,-0.05,0.1
188,0.0,-0.06,-0.13,0.0
189,0.0,0.05,-0.02,0.12
190,0.0,-0.02,-0.08,0.05
191,0.0,0.02,-0.05,0.08
192,0.0,-0.04,-0.1,0.02
193,0.0,0.04,-0.02,0.11
194,0.0,-0.02,-0.09,0.04
195,0.0,-0.01,-0.08,0.05
196,0.0,-0.01,-0.07,0.05
197,0.0,-0.03,-0.1,0.03
198,0.0,0.03,-0.04,0.09
199,0.0,-0.02,-0.08,0.04
200,0.0,0.08,0.01,0.15
201,0.0,-0.02,-0.08,0.04
202,0.0,0.01,-0.05,0.07
203,0.0,0.05,-0.02,0.11
204,0.0,-0.07,-0.13,0.0
205,0.0,-0.01,-0.08,0.05
206,0.0,0.04,-0.03,0.11
207,0.0,-0.02,-0.08,0.05
208,0.0,0.02,-0.05,0.09
209,0.0,0.01,-0.06,0.07
210,0.0,0.02,-0.04,0.09
211,0.0,0.0,-0.06,0.07
212,0.0,0.02,-0.05,0.08
213,0.0,0.01,-0.05,0.08
214,0.0,-0.0,-0.07,0.06
215,0.0,0.02,-0.04,0.08
216,0.0,-0.05,-0.12,0.01
217,0.0,0.0,-0.06,0.07
218,0.0,0.0,-0.07,0.07
219,0.0,0.0,-0.07,0.08
220,0.0,-0.07,-0.14,0.0
221,0.0,0.04,-0.03,0.1
222,0.0,0.03,-0.03,0.09
223,0.0,-0.03,-0.09,0.03
224,0.0,-0.05,-0.12,0.02
225,0.0,0.07,0.0,0.14
226,0.0,-0.03,-0.1,0.03
227,0.0,-0.02,-0.09,0.04
228,0.0,0.0,-0.06,0.07
229,0.0,0.0,-0.06,0.06
230,0.0,-0.01,-0.08,0.06
231,0.0,-0.06,-0.12,0.0
232,0.0,-0.09,-0.15,-0.02
233,0.0,-0.0,-0.07,0.06
234,0.0,0.01,-0.05,0.07
235,0.0,0.02,-0.04,0.09
236,0.0,0.04,-0.02,0.1
237,0.0,-0.02,-0.09,0.04
238,0.0,-0.04,-0.1,0.02
239,0.0,-0.06,-0.12,0.0
240,0.0,-0.06,-0.12,0.01
241,0.0,-0.02,-0.09,0.05
242,0.0,-0.05,-0.11,0.02
243,0.0,0.04,-0.02,0.11
244,0.0,-0.06,-0.12,0.0
245,0.0,0.04,-0.02,0.11
246,0.0,0.09,0.03,0.14
247,0.0,0.04,-0.03,0.11
248,0.0,0.03,-0.04,0.11
249,0.0,-0.04,-0.1,0.02
250,0.0,0.03,-0.04,0.1
251,0.0,-0.0,-0.06,0.06
252,0.0,-0.0,-0.07,0.07
253,0.0,-0.01,-0.08,0.05
254,0.0,-0.03,-0.1,0.04
255,0.0,-0.02,-0.08,0.05
256,0.0,0.07,0.0,0.14
257,0.0,0.06,-0.0,0.12
258,0.0,0.09,0.02,0.16
259,0.0,-0.03,-0.1,0.04
260,0.0,-0.02,-0.09,0.04
261,0.0,-0.0,-0.07,0.06
262,0.0,0.05,-0.02,0.11
263,0.0,0.01,-0.05,0.08
264,0.0,0.0,-0.06,0.07
265,0.0,-0.0,-0.07,0.06
266,0.0,-0.05,-0.12,0.02
267,0.0,-0.02,-0.09,0.04
268,0.0,-0.03,-0.1,0.04
269,0.0,0.0,-0.06,0.06
270,0.0,-0.04,-0.1,0.02
271,0.0,-0.01,-0.08,0.05
272,0.0,0.03,-0.03,0.09
273,0.0,0.06,-0.0,0.13
274,0.0,0.02,-0.06,0.09
275,0.0,-0.07,-0.13,-0.0
276,0.0,-0.05,-0.12,0.01
277,0.0,-0.06,-0.13,0.0
278,0.0,0.02,-0.04,0.09
279,0.0,0.05,-0.01,0.12
280,0.0,0.08,0.01,0.15
281,0.0,0.04,-0.03,0.1
282,0.0,0.0,-0.06,0.07
283,0.0,-0.05,-0.12,0.01
284,0.0,0.01,-0.05,0.08
285,0.0,0.04,-0.02,0.1
286,0.0,0.1,0.04,0.17
287,0.0,-0.07,-0.14,-0.01
288,0.0,0.01,-0.06,0.07
289,0.0,-0.03,-0.09,0.03
290,0.0,0.01,-0.06,0.07
291,0.0,-0.03,-0.1,0.04
292,0.0,-0.1,-0.16,-0.03
293,0.0,0.04,-0.03,0.1
294,0.0,-0.01,-0.08,0.06
295,0.0,-0.0,-0.07,0.06
296,0.0,0.02,-0.04,0.09
297,0.0,-0.01,-0.07,0.06
298,0.0,-0.04,-0.1,0.03
299,0.0,0.0,-0.06,0.06
300,0.0,0.1,0.04,0.17
301,0.0,-0.03,-0.1,0.03
302,0.0,-0.06,-0.13,0.0
303,0.0,-0.05,-0.11,0.01
304,0.0,-0.0,-0.07,0.07
305,0.0,-0.04,-0.1,0.03
306,0.0,-0.02,-0.09,0.05
307,0.0,-0.04,-0.1,0.03
308,0.0,-0.06,-0.12,0.01
