,0,1,2,3,4
0,"N: 10000(82342), P: 500, C: 0.5",0.04,0.03,0.02,0.01
1,"N: 10000(81143), P: 500, C: 0.75",0.04,0.03,0.02,0.02
2,"N: 10000(80211), P: 500, C: 0.95",0.05,0.04,0.04,0.03
3,"N: 10000(80453), P: 500, C: 0.99",0.05,0.04,0.04,0.04
4,"N: 10000(82678), P: 1000, C: 0.5",0.04,0.03,0.02,0.01
5,"N: 10000(81927), P: 1000, C: 0.75",0.04,0.03,0.03,0.02
6,"N: 10000(80289), P: 1000, C: 0.95",0.05,0.04,0.04,0.03
7,"N: 10000(81077), P: 1000, C: 0.99",0.05,0.05,0.05,0.05
