,0,1,2,3,4,5
0,-0.9,-0.88,0.23,0.23,0.96,0.94
1,0.2,0.19,0.18,0.18,0.71,0.94
2,0.0,-0.03,0.19,0.2,0.75,0.95
3,-0.4,-0.39,0.08,0.08,0.3,0.93
4,1.1,1.09,0.09,0.09,0.33,0.95
5,0.0,-0.0,0.08,0.08,0.3,0.92
