,0,1,2,3,4
0,"I(N): 5000(41236), LP(min, max): (-1.01, 1.37)",0.03,0.01,0.01,0.0
1,"I(N): 5000(41100), LP(min, max): (-2.74, 3.16)",0.01,0.0,0.0,0.0
2,"I(N): 5000(40061), LP(min, max): (-6.07, 6.8)",-0.02,-0.02,-0.02,-0.01
3,"I(N): 5000(43537), LP(min, max): (-12.56, 11.74)",-0.21,-0.17,-0.12,-0.1
4,"I(N): 5000(34588), LP(min, max): (-15.83, 13.66)",-0.25,-0.2,-0.15,-0.12
5,"I(N): 5000(35376), LP(min, max): (-24.39, 21.3)",-0.36,-0.29,-0.23,-0.18
6,"I(N): 5000(32163), LP(min, max): (-24.92, 21.82)",-0.33,-0.27,-0.21,-0.16
7,"I(N): 5000(26303), LP(min, max): (-19.88, 25.69)",-0.34,-0.27,-0.22,-0.17
