,0,1,2,3,4,5
0,-0.9,-0.88,0.22,0.22,0.88,0.95
1,0.2,0.19,0.16,0.16,0.65,0.96
2,0.0,-0.02,0.18,0.18,0.68,0.94
3,-0.4,-0.39,0.07,0.07,0.28,0.94
4,1.1,1.09,0.08,0.08,0.29,0.95
5,0.0,-0.0,0.07,0.07,0.27,0.94
