start,stop,event,X1,X2,X3,X4,X5,X6
0,1000,0,0,0,0,0,0,0
1000,3235,0,1,0,0,-1.22,-0.3,0.61
3235,6671,0,0,0,1,0.14,0.32,0.61
6671,8551,0,0,0,0,-0.76,-0.2,0.65
8551,10146,0,0,1,1,-0.19,-0.52,0.13
10146,11107,1,0,1,0,1.55,0.85,1.84
0,3693,0,0,0,0,0,0,0
3693,5421,0,0,0,0,-0.42,-1.87,0.34
5421,7291,0,0,0,0,0.64,-2.43,0.51
7291,9852,0,0,0,0,0.09,0.03,0.71
9852,10004,0,0,0,0,-1.23,0.76,-0.03
