,0,1,2,3,4
0,"I(N): 10000(82342), P: 500, C: 0.5",0.03 (0.04),0.01 (0.03),0.01 (0.02),0.0 (0.01)
1,"I(N): 10000(81143), P: 500, C: 0.75",0.03 (0.04),0.01 (0.03),0.01 (0.02),0.0 (0.02)
2,"I(N): 10000(80211), P: 500, C: 0.95",0.03 (0.05),0.01 (0.04),0.01 (0.04),0.0 (0.03)
3,"I(N): 10000(80453), P: 500, C: 0.99",0.03 (0.05),0.01 (0.04),0.0 (0.04),0.0 (0.04)
4,"I(N): 10000(82678), P: 1000, C: 0.5",0.03 (0.04),0.01 (0.03),0.01 (0.02),0.0 (0.01)
5,"I(N): 10000(81927), P: 1000, C: 0.75",0.03 (0.04),0.01 (0.03),0.01 (0.03),0.0 (0.02)
6,"I(N): 10000(80289), P: 1000, C: 0.95",0.03 (0.05),0.01 (0.04),0.0 (0.04),0.0 (0.03)
7,"I(N): 10000(81077), P: 1000, C: 0.99",0.03 (0.05),0.02 (0.05),0.01 (0.05),0.0 (0.05)
