,0,1,2,3,4,5
0,0.8,0.74,0.18,0.19,0.89,0.97
1,-0.5,-0.62,0.25,0.28,1.16,0.98
2,0.0,-0.09,0.21,0.23,1.01,0.98
3,-0.7,-0.73,0.09,0.1,0.43,0.99
4,1.0,1.04,0.1,0.11,0.45,0.96
5,0.0,0.0,0.09,0.09,0.41,0.98
