,0,1,2,3,4,5
0,-0.9,-0.89,0.21,0.21,0.87,0.94
1,0.2,0.19,0.15,0.15,0.64,0.98
2,0.0,-0.03,0.17,0.17,0.68,0.95
3,-0.4,-0.39,0.06,0.07,0.27,0.96
4,1.1,1.09,0.07,0.07,0.28,0.94
5,0.0,0.01,0.07,0.07,0.27,0.94
