,0,1,2,3,4,5,6
0,-0.5,-0.48,1.07,1.07,0.0,0.0,0.36
1,0.7,0.58,1.29,1.3,0.0,0.0,0.62
2,1.2,0.9,2.02,2.04,0.0,0.0,0.98
3,0.65,0.69,1.53,1.53,0.0,0.0,0.5
4,-0.9,-0.68,1.59,1.6,0.0,0.0,0.82
5,1.4,1.09,2.27,2.29,0.0,0.0,1.0
6,0.2,0.51,0.7,0.76,0.0,0.0,0.11
7,-0.4,-0.69,1.31,1.34,0.0,0.0,0.3
8,-1.3,-0.96,2.05,2.08,0.0,0.0,1.0
9,0.1,-0.28,1.79,1.83,0.0,0.0,0.04
10,0.0,0.02,0.3,0.3,0.0,0.0,0.04
11,0.0,0.05,0.31,0.31,0.0,0.0,0.06
12,0.0,0.02,0.3,0.3,0.0,0.0,0.04
13,0.0,0.01,0.32,0.32,0.0,0.0,0.04
14,0.0,0.01,0.28,0.28,0.0,0.0,0.06
15,0.0,0.01,0.16,0.16,0.0,0.0,0.03
16,0.0,0.01,0.13,0.13,0.0,0.0,0.06
17,0.0,0.01,0.12,0.12,0.0,0.0,0.05
18,0.0,-0.0,0.17,0.17,0.0,0.0,0.05
19,0.0,0.01,0.13,0.14,0.0,0.0,0.03
20,0.0,-0.01,0.15,0.15,0.0,0.0,0.07
21,0.0,0.01,0.14,0.14,0.0,0.0,0.05
22,0.0,-0.0,0.07,0.07,0.0,0.0,0.01
23,0.0,0.02,0.17,0.17,0.0,0.0,0.05
24,0.0,0.01,0.09,0.1,0.0,0.0,0.03
25,0.0,-0.01,0.07,0.07,0.0,0.0,0.02
26,0.0,-0.02,0.3,0.3,0.0,0.0,0.06
27,0.0,0.02,0.19,0.19,0.0,0.0,0.06
28,0.0,-0.01,0.17,0.17,0.0,0.0,0.02
29,0.0,-0.01,0.21,0.21,0.0,0.0,0.04
30,0.0,0.0,0.08,0.08,0.0,0.0,0.02
31,0.0,-0.01,0.1,0.1,0.0,0.0,0.04
32,0.0,-0.0,0.1,0.1,0.0,0.0,0.03
33,0.0,0.01,0.15,0.15,0.0,0.0,0.04
34,0.0,-0.0,0.2,0.2,0.0,0.0,0.03
35,0.0,-0.01,0.12,0.12,0.0,0.0,0.03
36,0.0,0.01,0.14,0.14,0.0,0.0,0.03
37,0.0,-0.01,0.09,0.09,0.0,0.0,0.04
38,0.0,-0.0,0.08,0.08,0.0,0.0,0.02
39,0.0,-0.02,0.18,0.19,0.0,0.0,0.06
40,0.0,0.01,0.21,0.21,0.0,0.0,0.04
41,0.0,-0.01,0.24,0.24,0.0,0.0,0.04
42,0.0,-0.02,0.18,0.19,0.0,0.0,0.04
43,0.0,-0.02,0.23,0.23,0.0,0.0,0.04
44,0.0,0.01,0.12,0.12,0.0,0.0,0.04
45,0.0,0.01,0.28,0.28,0.0,0.0,0.06
46,0.0,-0.0,0.19,0.19,0.0,0.0,0.02
47,0.0,-0.01,0.19,0.19,0.0,0.0,0.02
