,0
0,0.85150325
1,0.12532811
2,0.72457063
3,0.34508795
4,-0.7708843
5,0.014860394
6,-0.017377984
7,0.0041527813
8,-0.013328133
9,0.012065219
10,0.008661363
11,0.22665423
12,0.526264
13,0.0073693236
14,0.009239276
15,-0.0061773392
16,-0.010645751
17,0.004049107
18,-0.0025725658
19,0.004662543
20,0.00095342775
21,0.0037524656
22,0.013733711
23,0.002746149
24,0.00013064407
25,-0.0021955064
26,-0.006247589
27,0.0014502322
28,0.0015668832
29,-0.014273426
30,0.00028367003
31,0.009559176
32,2.9326882e-05
33,0.009591276
34,-0.0039643864
35,-0.0002660607
36,0.00037509238
37,-0.0019205903
38,0.0007596081
39,0.0013393443
40,0.003074384
41,0.0019424348
42,9.8844524e-05
43,0.0074358485
44,-0.0039386326
45,0.0006741239
46,0.0018915227
47,-0.0005591172
48,0.0033589331
49,0.00031229132
50,0.002494805
51,0.0065478305
52,0.0076574106
53,-0.005802541
54,0.0072348304
55,0.0013303244
56,0.0051240837
57,0.0049445606
58,-0.0024170699
59,-0.0033087605
60,-0.0036055332
61,-0.0019646152
62,-0.006010662
63,-0.003394307
64,0.005917751
65,0.0052128467
66,0.0054213437
67,-0.0064025205
68,0.008402783
69,0.0038633526
70,-0.004453564
71,-0.0058566793
72,-0.0032642693
73,-0.0036538616
74,0.0032057003
75,-0.0029356796
76,0.00019906275
77,-0.0077610747
78,0.0049210205
79,0.004255274
80,-0.0072072893
81,-0.008604475
82,-0.006168041
83,-0.005602553
84,0.0046500023
85,-0.007338169
86,0.0016953093
87,0.0028703748
88,-0.002162221
89,-0.0052130325
90,0.0035280474
91,-0.0125403665
92,0.005866229
93,-0.0026921858
94,-0.004577485
95,8.6193904e-05
96,0.009261429
97,0.0046853423
98,-0.003223613
99,-0.0015929262
100,0.002160023
101,0.0040146657
102,0.0013199961
103,0.0043661473
104,-0.0027859882
105,0.0076178885
106,0.00047850935
107,-0.009561562
108,0.009309866
109,0.009884213
110,0.0035464615
111,-0.0025383849
112,0.0008800356
113,0.0045834123
114,-0.0047218646
115,-0.0017027452
116,-0.0053777164
117,0.006921789
118,0.013380857
119,0.0010461789
120,-0.00096164667
121,0.00017533777
122,-0.004172502
123,0.0068309037
124,0.008664835
125,0.0039873766
126,0.0022800928
127,-0.0044230805
128,0.006640068
129,0.0014889762
130,0.00013341755
131,-0.0057842103
132,-0.0060241306
133,0.008803974
134,0.0017089527
135,-0.002788851
136,-0.009422246
