,0
0,0.7940289
1,0.04934627
2,0.64750725
3,0.31373543
4,-0.85184497
5,-0.01062893
6,-0.03695261
7,-0.009352524
8,-0.0309838
9,-0.017268337
10,-0.008571098
11,0.15403622
12,0.46493495
13,-0.006081366
14,-0.0040034503
15,-0.019562475
16,-0.024061449
17,-0.009591563
18,-0.015862342
19,-0.008527122
20,-0.012225785
21,-0.009837627
22,0.00039535295
23,-0.011448859
24,-0.013608479
25,-0.016373612
26,-0.019578364
27,-0.011865606
28,-0.012004606
29,-0.027189564
30,-0.013382348
31,-0.0043824036
32,-0.013329316
33,-0.0048898896
34,-0.017100284
35,-0.013801537
36,-0.013846123
37,-0.014821778
38,-0.012655774
39,-0.012495416
40,-0.010500262
41,-0.011897661
42,-0.013754396
43,-0.0064119664
44,-0.017512724
45,-0.012876463
46,-0.0107520195
47,-0.013781896
48,-0.009560586
49,-0.013404338
50,-0.011232112
51,-0.0068077776
52,-0.0052478584
53,-0.019044332
54,-0.0067199515
55,-0.012499603
56,-0.007866482
57,-0.007937316
58,-0.015928514
59,-0.016071085
60,-0.016655982
61,-0.015055373
62,-0.019119076
63,-0.017431663
64,-0.0076594753
65,-0.008456757
66,-0.0071890685
67,-0.020179946
68,-0.005479644
69,-0.009652753
70,-0.01848942
71,-0.019261044
72,-0.016524931
73,-0.017080875
74,-0.009495661
75,-0.016727649
76,-0.013456996
77,-0.021461297
78,-0.008531818
79,-0.008856185
80,-0.0210838
81,-0.02201732
82,-0.01972133
83,-0.019543193
84,-0.009210572
85,-0.020815153
86,-0.011819398
87,-0.010758841
88,-0.015160828
89,-0.018595587
90,-0.009793401
91,-0.025429897
92,-0.007235224
93,-0.016036335
94,-0.018786302
95,-0.014266752
96,-0.0045159394
97,-0.008568914
98,-0.016921654
99,-0.015018661
100,-0.012733332
101,-0.009598624
102,-0.012461566
103,-0.009663283
104,-0.016115021
105,-0.0055596116
106,-0.013858173
107,-0.022563942
108,-0.004142169
109,-0.003724086
110,-0.010546979
111,-0.016204264
112,-0.01238009
113,-0.008860616
114,-0.017575067
115,-0.015780242
116,-0.019044332
117,-0.0065616355
118,-0.0004904019
119,-0.01364005
120,-0.014725229
121,-0.014196731
122,-0.017476771
123,-0.0066621397
124,-0.0048094094
125,-0.00966582
126,-0.010925542
127,-0.017930808
128,-0.006685328
129,-0.012489962
130,-0.013055864
131,-0.01933234
132,-0.019891944
133,-0.004539403
134,-0.012564068
135,-0.016213652
136,-0.02276825
137,-0.014746899
138,-0.01891059
139,-0.014278055
140,-0.02659297
141,-0.0044850847
142,-0.009383542
143,-0.022164613
144,-0.019869978
145,-0.018996198
146,-0.0048018387
147,-0.015468937
148,-0.0054454766
149,-0.018926088
150,-0.010435608
151,-0.013322931
152,-0.0036423076
153,-0.0070403833
154,-0.009585827
155,-0.018183473
156,-0.010197689
157,-0.019251805
158,-0.024074353
159,-0.011164022
160,-0.020148292
161,-0.016226
162,-0.014706107
163,-0.007324687
164,-0.013307163
165,-0.013689596
166,-0.0011659395
167,-0.0076598576
168,-0.018152326
169,-0.028133709
170,-0.017252188
171,-0.012899348
172,-0.012261144
173,-0.011876913
174,-0.015447103
175,-0.012887629
176,-0.013859868
177,-0.015667353
178,-0.019890938
179,-0.008073353
180,-0.015363295
181,-0.01562924
182,-0.009579267
183,-0.018967744
184,-0.010649633
185,-0.012329921
186,-0.023433033
187,-0.016452756
188,-0.012908657
189,-0.007808628
190,-0.019316226
191,-0.011930576
192,-0.012379009
193,-0.010921808
194,-0.0065075015
195,-0.014021553
196,-0.009771717
197,-0.02113869
198,-0.00937341
199,-0.0034713065
200,-0.009285867
201,-0.004178471
202,-0.005265765
203,-0.013149455
204,-0.0181506
205,-0.016590094
206,-0.011910716
207,-0.0074477
208,-0.010651693
209,-0.00708104
210,-0.012668649
211,-0.0052028233
212,-0.0071362387
213,-0.009292422
214,0.26766607
215,-0.011130232
216,-0.009957263
217,-0.01504603
218,0.40430972
219,-0.010206364
220,-0.019283492
221,-0.014194099
222,-0.01796098
223,-0.02364033
224,-0.012543184
225,-0.013077734
226,-0.014754845
227,-0.014847225
228,-0.020546809
229,-0.015626224
230,-0.014206011
231,-0.01682183
232,-0.013564901
233,-0.019536333
234,-0.006670436
235,-0.016867075
236,-0.02627198
237,-0.015526081
238,-0.021007815
239,-0.012134843
240,-0.017275514
241,-0.008632444
242,-0.017144436
243,-0.012849916
244,-0.008142412
245,-0.015264079
246,-0.021174558
247,-0.0054622013
248,-0.027252842
249,-0.011713605
250,-0.016177084
251,-0.015999857
252,-0.016650047
253,-0.008565221
254,-0.017840393
255,-0.015992027
256,-0.006235983
257,-0.019055188
258,-0.010757279
259,-0.0037985956
260,-0.0061382838
261,0.0028194385
262,-0.0070111146
263,-0.0029916987
264,-0.0097386185
265,-0.01615781
266,-0.011008777
267,-0.008633976
268,-0.015355295
269,-0.021004632
270,-0.009367285
271,-0.010279389
272,-0.007816309
273,-0.018422028
274,-0.010221312
275,-0.019524477
276,-0.014554293
277,-0.01839493
278,-0.015800739
279,-0.016373936
280,-0.01292816
281,-0.0124841295
282,-0.0097891
283,-0.009954475
284,-0.009109221
285,-0.024458094
286,-0.009859147
287,-0.013399728
288,-0.001955417
289,-0.020128345
290,-0.02416239
291,-0.012597911
292,-0.016700624
293,-0.009016304
294,-0.011906596
295,-0.014624147
296,-0.014836396
297,-0.0153802885
298,-0.009282627
299,-0.02349782
300,-0.0100372005
301,-0.0160216
302,-0.009052556
303,-0.023226589
304,-0.023956694
305,-0.011987147
306,-0.015665043
307,-0.014342583
308,-0.009889063
309,-0.012604387
310,-0.027256988
311,-0.01854884
312,-0.030763734
313,-0.017386694
314,-0.0039720405
315,-0.02146753
316,-0.018884704
317,-0.020400915
318,-0.018169235
319,-0.026569873
320,-0.013949156
321,-0.015434654
322,-0.024285499
323,-0.013112573
324,-0.009165863
325,-0.018474849
326,-0.016614787
327,-0.006114045
328,-0.017299423
329,-4.3153114
330,-0.017326504
331,-0.013454579
332,0.0011009844
333,-0.015889766
334,-0.0015889714
335,-0.010552392
336,-0.008665416
337,-0.008733176
338,-0.010406377
339,-0.025228158
340,-0.01014326
341,-0.013542363
342,-0.015940579
343,-0.009485644
344,-0.0052206255
345,-0.0083747115
346,-0.010264978
347,-0.015463345
348,-0.011511308
349,-0.01539373
350,-0.0146150645
351,-0.01873085
352,-0.023030622
353,-0.009514165
354,-0.010555422
355,-0.015233406
356,-0.013032879
357,-0.015073719
358,-0.016787484
359,-0.019356066
360,-0.021469085
361,-0.012540494
362,-0.026383173
363,-0.017460547
364,-0.013426362
365,-0.012588276
366,-0.020877426
367,-0.015913108
368,-0.011362547
369,-0.005280081
370,-0.019488642
371,-0.017471448
372,-0.012506773
373,-0.010219027
374,-0.009447396
375,-0.0028190194
376,-0.01090752
377,-0.013562637
378,-0.000893143
379,0.011123002
380,-0.022808716
381,-0.014581367
382,-0.011110692
383,-0.020077892
384,-0.015660625
385,-0.01652096
386,-0.004784031
387,-0.019537304
388,-0.023850089
389,-0.03045852
390,-0.012105534
391,-0.013834949
392,-0.012109205
393,-0.009903587
394,-0.01855059
395,-0.27110642
396,-0.010996664
397,-0.010877013
398,-0.01037737
399,-0.017088918
400,-0.016579922
401,-0.010296
402,-0.015647931
403,-0.014703934
404,-0.017663602
405,-0.021226125
406,-0.014477289
407,-0.011100441
408,-0.013149463
409,-0.009454382
410,-0.0032490687
411,-0.011240698
412,-0.01945794
413,-0.008977074
414,-0.0141531285
415,-0.005936789
