,0
0,0.9089777
1,0.20130998
2,0.8016341
3,0.37644047
4,-0.6899236
5,0.040349726
6,0.002196649
7,0.017658088
8,0.0043275375
9,0.041398782
10,0.02589383
11,0.29927224
12,0.5875931
13,0.020820018
14,0.022482004
15,0.007207801
16,0.0027699498
17,0.017689781
18,0.010717213
19,0.017852211
20,0.014132644
21,0.017342562
22,0.027072072
23,0.01694116
24,0.013869771
25,0.011982602
26,0.00708319
27,0.014766073
28,0.015138375
29,-0.0013572844
30,0.01394969
31,0.02350076
32,0.0133879725
33,0.024072446
34,0.009171514
35,0.013269419
36,0.01459631
37,0.010980602
38,0.014174994
39,0.015174109
40,0.016649032
41,0.015782533
42,0.013952088
43,0.021283668
44,0.009635463
45,0.014224714
46,0.0145350685
47,0.012663664
48,0.016278457
49,0.014028924
50,0.016221724
51,0.01990344
52,0.020562682
53,0.007439252
54,0.021189615
55,0.015160257
56,0.018114652
57,0.017826442
58,0.01109438
59,0.009453569
60,0.009444919
61,0.011126148
62,0.0070977574
63,0.010643054
64,0.01949498
65,0.018882453
66,0.01803176
67,0.0073749097
68,0.022285216
69,0.017379463
70,0.009582296
71,0.0075476873
72,0.009996397
73,0.009773156
74,0.015907066
75,0.010856291
76,0.013855125
77,0.0059391516
78,0.01837386
79,0.017366737
80,0.006669226
81,0.0048083747
82,0.0073852497
83,0.008338092
84,0.01851058
85,0.0061388174
86,0.015210021
87,0.016499594
88,0.01083639
89,0.008169525
90,0.0168495
91,0.0003491668
92,0.018967686
93,0.010651967
94,0.009631336
95,0.014439143
96,0.0230388
97,0.017939601
98,0.01047443
99,0.011832813
100,0.017053382
101,0.017627958
102,0.015101562
103,0.01839558
104,0.010543047
105,0.020795394
106,0.0148151945
107,0.0034408206
108,0.022761907
109,0.023492515
110,0.017639905
111,0.011127497
112,0.0141401645
113,0.018027445
114,0.00813134
115,0.012374755
116,0.008288902
117,0.020405218
118,0.027252119
119,0.015732411
120,0.012801941
121,0.014547411
122,0.009131768
123,0.02032395
124,0.022139084
125,0.017640576
126,0.015485732
127,0.009084649
128,0.019965468
129,0.0154679185
130,0.013322702
131,0.0077639245
132,0.007843685
133,0.022147354
134,0.015981978
135,0.0106359515
136,0.00392376
137,0.01165622
138,0.008352542
139,0.0133117
140,0.0014480473
141,0.021722294
142,0.017641157
143,0.0052268244
144,0.007765604
145,0.008080724
146,0.022979911
147,0.010732334
148,0.02306826
149,0.008192491
150,0.016729992
151,0.013637619
152,0.024177732
153,0.019815948
154,0.018397069
155,0.010316216
156,0.016526174
157,0.007593621
158,0.002089398
159,0.015122584
160,0.0061408095
161,0.012938531
162,0.011958432
163,0.02075845
164,0.014106005
165,0.012772954
166,0.02424369
167,0.019210437
168,0.009462581
