,0,1,2,3,4,5
0,-0.9,-0.89,0.22,0.22,0.98,0.94
1,0.2,0.18,0.17,0.17,0.74,0.98
2,0.0,-0.04,0.18,0.18,0.78,0.96
3,-0.4,-0.39,0.07,0.07,0.32,0.96
4,1.1,1.09,0.08,0.08,0.34,0.96
5,0.0,0.01,0.07,0.07,0.31,0.98
