,0,1,2,3,4
0,"I(N): 5000(39437), LP(min, max): (-1.2, 1.4)",0.03,0.02,0.01,0.0
1,"I(N): 5000(28766), LP(min, max): (-4.44, 4.46)",-0.0,-0.01,-0.01,-0.01
2,"I(N): 5000(31022), LP(min, max): (-5.43, 8.0)",-0.03,-0.03,-0.02,-0.01
3,"I(N): 5000(33931), LP(min, max): (-12.27, 10.63)",-0.1,-0.09,-0.08,-0.06
4,"I(N): 5000(31299), LP(min, max): (-14.29, 14.51)",-0.23,-0.18,-0.14,-0.11
5,"I(N): 5000(29461), LP(min, max): (-18.66, 19.78)",-0.31,-0.26,-0.21,-0.16
6,"I(N): 5000(31383), LP(min, max): (-19.77, 16.65)",-0.27,-0.24,-0.19,-0.14
7,"I(N): 5000(24956), LP(min, max): (-35.14, 30.38)",-0.42,-0.34,-0.28,-0.22
